feature,importance,gain_pct,gain_cumul_pct,rank
chrono_status_delta_1_2,4795.34130859375,0.15033503777734789,86.18634139640211,157
cov_green_date4,4784.7802734375,0.15000394692958333,86.3363453433317,158
te_change_status_date2_class5,4758.26220703125,0.14917259953251244,86.4855179428642,159
vari_date1,4755.78955078125,0.1490950811981891,86.63461302406239,160
delta_blue_mean_d1_d2,4723.55126953125,0.1480844037682197,86.78269742783061,161
chrono_time_delta_2_3,4712.1845703125,0.1477280551693427,86.93042548299995,162
delta_blue_std_d4_d5,4709.8896484375,0.14765610884799202,87.07808159184795,163
img_red_mean_date5,4704.26708984375,0.1474798403606829,87.22556143220864,164
delta_blue_std_d1_d2,4660.884765625,0.14611979465578032,87.37168122686441,165
img_red_std_date1,4612.27978515625,0.14459601749275713,87.51627724435717,166
delta_green_mean_d1_d2,4610.35986328125,0.14453582750646976,87.66081307186364,167
delta_red_std_d1_d2,4575.6328125,0.14344712658715475,87.80426019845079,168
delta_red_mean_d4_d5,4568.81298828125,0.14323332355091972,87.94749352200171,169
img_red_mean_date2,4562.3798828125,0.14303164423521866,88.09052516623693,170
te_change_status_date0_class1,4532.40966796875,0.14209207120156286,88.23261723743849,171
convexity_x_status_range,4528.67529296875,0.1419749976982246,88.37459223513672,172
cov_green_date1,4508.3564453125,0.1413379972151682,88.51593023235189,173
te_change_status_date3_class1,4500.78466796875,0.14110062027789486,88.65703085262979,174
te_change_status_date2_class2,4372.8310546875,0.13708924547712475,88.79412009810692,175
delta_blue_std_d2_d3,4355.67578125,0.13655142376343662,88.93067152187035,176
avg_std_date4,4340.39208984375,0.13607227657096918,89.06674379844132,177
img_green_std_date4,4340.349609375,0.13607094479863782,89.20281474323995,178
img_blue_std_date3,4331.90234375,0.13580612110515558,89.33862086434512,179
delta_green_std_d3_d4,4317.14404296875,0.13534344502795906,89.47396430937307,180
delta_blue_mean_d2_d3,4311.6259765625,0.13517045239443057,89.6091347617675,181
prior_construction_count,4294.7275390625,0.13464068254564254,89.74377544431314,182
te_change_status_date3_class3,4243.82568359375,0.13304489783035695,89.8768203421435,183
convexity,4242.52734375,0.13300419458174598,90.00982453672525,184
te_change_status_date0_class3,4209.2080078125,0.13195962584210208,90.14178416256735,185
gri_date3,4202.19873046875,0.13173988340742362,90.27352404597477,186
te_change_status_date2_class0,4199.8583984375,0.13166651346737387,90.40519055944215,187
delta_blue_std_d3_d4,4185.2099609375,0.13120728162896542,90.5363978410711,188
te_change_status_date1_class0,4147.49560546875,0.130024928030071,90.66642276910117,189
img_blue_std_date1,4106.36962890625,0.12873561933601124,90.79515838843719,190
te_urban_type_class5,4034.208740234375,0.1264733591075074,90.9216317475447,191
te_change_status_date0_class0,4019.950927734375,0.12602637345145648,91.04765812099615,192
date0_month_cos,4010.366455078125,0.1257258980595858,91.17338401905573,193
dense_forest_x_log_area,4010.21435546875,0.12572112970233035,91.29910514875806,194
img_blue_mean_date2,4000.695556640625,0.12542271319986853,91.42452786195793,195
cov_red_date4,3932.2255859375,0.12327616408691565,91.54780402604484,196
cov_blue_date2,3928.831787109375,0.12316976772382038,91.67097379376867,197
status_std,3867.658447265625,0.12125196964344274,91.7922257634121,198
delta_green_std_d4_d5,3846.0810546875,0.12057551349160309,91.9128012769037,199
cov_green_date2,3770.64892578125,0.11821069913971864,92.03101197604343,200
green_mean_overall_std,3710.863525390625,0.1163364132760302,92.14734838931946,201
chrono_status_delta_0_1,3653.42919921875,0.11453583412240631,92.26188422344187,202
delta_green_mean_d3_d4,3646.524658203125,0.11431937519537248,92.37620359863725,203
img_red_std_date3,3643.9892578125,0.11423988981800795,92.49044348845526,204
img_red_mean_date4,3621.719482421875,0.11354172730793952,92.60398521576319,205
img_red_std_date4,3582.398681640625,0.11230901128409963,92.71629422704729,206
blue_ratio_last_first,3557.403564453125,0.1115254086904953,92.82781963573778,207
green_mean_overall_range,3555.959716796875,0.11148014373895618,92.93929977947674,208
cov_blue_date3,3542.105712890625,0.11104581757391738,93.05034559705066,209
brightness_overall_std,3513.13037109375,0.11013743403595351,93.16048303108661,210
red_mean_overall_std,3480.455322265625,0.10911306384333558,93.26959609492995,211
cov_red_date3,3480.2509765625,0.10910665755918979,93.37870275248915,212
gri_date4,3451.427490234375,0.1082030347246174,93.48690578721376,213
avg_std_date3,3429.41455078125,0.10751292407944904,93.5944187112932,214
area,3401.487548828125,0.10663740623338726,93.70105611752659,215
oh_geography_type_Barren_Land_Sparse_Forest_Farms,3370.44384765625,0.10566417915984011,93.80672029668644,216
vari_date3,3368.864501953125,0.10561466631379568,93.91233496300023,217
delta_green_std_d2_d3,3364.14599609375,0.10546674008478035,94.01780170308501,218
industrial_urban_x_log_area,3350.658935546875,0.10504391767729371,94.1228456207623,219
img_green_mean_date3,3342.165771484375,0.10477765505738446,94.2276232758197,220
te_change_status_date4_class3,3336.22607421875,0.10459144420077379,94.33221472002047,221
avg_std_date1,3310.5419921875,0.10378624240303631,94.4360009624235,222
cov_green_date3,3259.2041015625,0.10217678788669408,94.5381777503102,223
te_change_status_date2_class4,3239.773681640625,0.10156763981463714,94.63974539012483,224
vari_date4,3208.763671875,0.10059546897431833,94.74034085909915,225
vari_date2,3154.2119140625,0.09888525899262926,94.83922611809177,226
gri_date1,3140.2578125,0.09844779474336135,94.93767391283514,227
brightness_rel_change_last_first,3096.640625,0.09708038602131626,95.03475429885646,228
img_green_mean_date2,2986.52099609375,0.09362811067608054,95.12838240953253,229
te_urban_type_class0,2954.76318359375,0.09263249605041096,95.22101490558295,230
green_ratio_last_first,2901.0390625,0.09094823266759199,95.31196313825053,231
img_red_std_date2,2900.994384765625,0.09094683201048483,95.40290997026102,232
img_green_mean_date1,2877.425537109375,0.09020794329021355,95.49311791355123,233
status_min,2865.7001953125,0.08984035116515948,95.5829582647164,234
cov_red_date2,2824.978759765625,0.08856372492370378,95.6715219896401,235
img_green_std_date2,2821.063720703125,0.08844098756102514,95.75996297720113,236
te_urban_type_class2,2785.14697265625,0.08731498936256743,95.8472779665637,237
status_delta_3_4,2752.269287109375,0.08628426646285152,95.93356223302655,238
red_ratio_last_first,2745.906982421875,0.08608480676770278,96.01964703979425,239
avg_std_date5,2708.015380859375,0.0848968964635636,96.10454393625781,240
brightness_overall_mean,2686.424072265625,0.08422000404147746,96.1887639402993,241
date1_year,2656.30126953125,0.08327564734283825,96.27203958764214,242
log_area_x_time,2629.041748046875,0.08242105516087994,96.35446064280302,243
date4_month_sin,2626.221923828125,0.08233265303198631,96.436793295835,244
date1_month_sin,2607.433349609375,0.08174362696831565,96.51853692280332,245
img_green_mean_date4,2565.058837890625,0.08041517641389555,96.59895209921721,246
chrono_status_is_monotonic,2562.660888671875,0.08034000016194809,96.67929209937917,247
status_delta_1_2,2541.784912109375,0.07968553356130421,96.75897763294047,248
brightness_overall_range,2535.86328125,0.07949988909062759,96.8384775220311,249
starts_prior_construction,2487.132568359375,0.07797217018765809,96.91644969221876,250
date0_month_sin,2481.054931640625,0.07778163489790241,96.99423132711667,251
chrono_status_2,2479.937744140625,0.07774661081635978,97.07197793793303,252
green_mean_overall_mean,2435.466064453125,0.07635241357040753,97.14833035150343,253
brightness_date4,2387.498779296875,0.0748486283000831,97.22317897980352,254
brightness_date3,2302.088134765625,0.07217098521987478,97.29534996502339,255
brightness_date5,2298.79345703125,0.07206769632555275,97.36741766134894,256
centroid_lon_bin,2280.908447265625,0.07150699721244791,97.43892465856139,257
date2_month,2271.41845703125,0.07120948386593498,97.51013414242732,258
date2_month_sin,2252.281494140625,0.07060953573837417,97.58074367816569,259
oh_geography_type_Sparse_Forest_Dense_Forest_Grass_Land_Farms,2242.67041015625,0.0703082260753304,97.65105190424102,260
status_delta_2_3,2194.025146484375,0.06878318602475161,97.71983509026576,261
oh_geography_type_River_Barren_Land_Sparse_Forest_Grass_Land,2183.981689453125,0.06846832136861082,97.78830341163437,262
brightness_date1,2040.004150390625,0.06395459285980568,97.85225800449417,263
brightness_date2,1903.7041015625,0.059681555411374404,97.91193955990555,264
avg_std_date2,1861.96044921875,0.05837288244146177,97.97031244234701,265
date3_month_cos,1792.0594482421875,0.05618147020482837,98.02649391255184,266
status_ord_date3,1792.0174560546875,0.05618015374022493,98.08267406629207,267
status_range,1783.7227783203125,0.05592011371172613,98.13859418000379,268
date1_month_cos,1681.1446533203125,0.052704266224631036,98.19129844622843,269
status_delta_0_1,1680.278564453125,0.052677114142185136,98.24397556037061,270
blue_rel_change_last_first,1597.3778076171875,0.05007815661055613,98.29405371698117,271
date4_month_cos,1564.4765625,0.04904669511296679,98.34310041209413,272
status_max_minus_last,1519.5009765625,0.0476367002917733,98.3907371123859,273
red_rel_change_last_first,1506.75927734375,0.047237245130997654,98.43797435751691,274
oh_geography_type_River_Farms,1504.9161376953125,0.04717946228492991,98.48515381980184,275
oh_geography_type_Barren_Land_Sparse_Forest_Dense_Forest,1434.624267578125,0.04497579621207498,98.53012961601391,276
date2_month_cos,1415.9609375,0.04439069658062272,98.57452031259453,277
status_ord_date4,1397.4083251953125,0.043809067976482416,98.61832938057101,278
date4_month,1395.129638671875,0.04373763063708599,98.6620670112081,279
status_ord_date2,1388.6697998046875,0.04353511322327984,98.70560212443138,280
rgi_date5,1387.3271484375,0.043493020798357714,98.74909514522973,281
oh_geography_type_Sparse_Forest_Dense_Forest_Farms,1362.07568359375,0.042701381647581235,98.7917965268773,282
n_status_changes,1285.030029296875,0.04028598290869609,98.832082509786,283
te_urban_type_class3,1283.699951171875,0.040244284657768595,98.87232679444378,284
rgi_date2,1230.1895751953125,0.0385667222328584,98.91089351667664,285
chrono_status_1,1197.9810791015625,0.037556978574293784,98.94845049525092,286
status_ord_date0,1193.239990234375,0.03740834436286089,98.98585883961378,287
green_rel_change_last_first,1176.1591796875,0.03687285707768469,99.02273169669147,288
arid_geo_x_log_area,1167.5635986328125,0.03660338366183858,99.0593350803533,289
date0_year,1086.8851318359375,0.034074095427028134,99.09340917578034,290
road_pattern,1086.258544921875,0.03405445178514021,99.12746362756548,291
